temperature,humidity,wind_speed,solar_irradiance,is_weekend,hour_index,power_demand
29.4,61,8.2,720,0,9,412
31.1,57,7.5,790,0,10,438
33.0,52,6.8,830,0,11,467
34.2,49,6.1,860,0,12,489
35.0,45,5.4,840,0,13,501
34.6,47,5.9,810,0,14,493
32.8,51,7.0,760,0,15,462
30.2,58,8.6,650,0,16,431
28.7,63,9.1,420,0,17,408
27.9,68,8.4,120,0,18,396
26.8,72,7.6,0,0,19,385
25.9,75,6.9,0,0,20,378
24.8,78,6.2,0,0,21,365
23.7,82,5.8,0,0,22,352
22.9,84,5.1,0,0,23,341
24.1,80,4.9,0,1,8,318
26.2,74,5.5,380,1,9,332
28.5,66,6.7,690,1,10,358
30.9,59,7.2,780,1,11,389
32.4,54,6.4,825,1,12,412
33.1,50,5.7,850,1,13,427
32.6,53,6.0,815,1,14,421
30.8,60,7.4,730,1,15,398
28.9,65,8.0,600,1,16,371
27.4,70,8.7,330,1,17,354
26.1,76,7.9,70,1,18,339
25.0,79,7.1,0,1,19,326
24.3,82,6.6,0,1,20,319
23.6,85,5.9,0,1,21,311
22.8,87,5.3,0,1,22,304
