open_return,high_return,low_return,volume_change,volatility,next_return
0.012,0.018,0.006,0.080,0.021,0.010
-0.006,0.004,-0.014,-0.030,0.018,-0.004
0.009,0.015,0.002,0.050,0.019,0.008
0.016,0.022,0.010,0.120,0.026,0.014
-0.011,-0.004,-0.019,-0.070,0.024,-0.010
0.004,0.011,-0.002,0.020,0.016,0.005
0.021,0.028,0.014,0.180,0.032,0.019
-0.014,-0.006,-0.025,-0.110,0.030,-0.013
0.007,0.013,0.001,0.040,0.017,0.006
0.018,0.024,0.011,0.150,0.027,0.016
-0.008,-0.001,-0.016,-0.050,0.022,-0.007
0.003,0.009,-0.003,0.010,0.015,0.003
0.014,0.020,0.007,0.100,0.023,0.012
-0.016,-0.009,-0.027,-0.130,0.031,-0.015
0.010,0.017,0.004,0.060,0.020,0.009
0.005,0.012,-0.001,0.030,0.016,0.005
-0.004,0.002,-0.011,-0.020,0.017,-0.003
0.019,0.026,0.012,0.160,0.029,0.017
-0.012,-0.005,-0.021,-0.090,0.026,-0.011
0.006,0.014,0.000,0.050,0.018,0.007
0.023,0.030,0.015,0.200,0.034,0.021
-0.018,-0.010,-0.029,-0.150,0.033,-0.017
0.011,0.018,0.005,0.070,0.021,0.010
0.002,0.008,-0.004,0.000,0.014,0.002
-0.009,-0.002,-0.017,-0.060,0.023,-0.008
0.015,0.021,0.009,0.110,0.024,0.013
0.008,0.016,0.002,0.060,0.019,0.008
-0.013,-0.007,-0.023,-0.100,0.028,-0.012
0.017,0.025,0.010,0.140,0.027,0.016
0.001,0.007,-0.005,-0.010,0.015,0.001
