attendance_rate,study_hours,assignment_score,quiz_average,sleep_hours,screen_time,final_score
0.92,2.8,84,78,7.1,3.2,82
0.88,2.1,79,74,6.8,4.0,77
0.95,3.4,91,86,7.4,2.6,90
0.81,1.6,72,68,6.2,5.1,70
0.76,1.2,65,61,5.9,5.8,63
0.90,2.5,82,80,7.0,3.5,81
0.97,3.8,94,90,7.6,2.2,93
0.84,1.9,75,71,6.5,4.7,73
0.79,1.4,69,64,6.0,5.3,66
0.93,3.0,88,83,7.2,3.0,86
0.86,2.0,77,73,6.7,4.2,75
0.98,4.1,96,92,7.8,2.0,95
0.74,1.0,62,58,5.7,6.0,60
0.89,2.4,81,77,6.9,3.8,79
0.91,2.7,85,81,7.1,3.4,83
0.83,1.8,74,70,6.4,4.9,72
0.96,3.6,92,88,7.5,2.4,91
0.78,1.3,68,63,6.1,5.5,65
0.87,2.2,80,75,6.8,4.1,78
0.94,3.2,89,85,7.3,2.8,88
0.82,1.7,73,69,6.3,5.0,71
0.99,4.3,98,94,7.9,1.8,97
0.77,1.1,66,60,5.8,5.9,62
0.85,2.0,76,72,6.6,4.5,74
0.90,2.6,83,79,7.0,3.6,81
0.92,2.9,86,82,7.2,3.1,85
0.80,1.5,70,66,6.2,5.2,68
0.97,3.9,95,91,7.7,2.1,94
0.88,2.3,79,76,6.9,3.9,78
0.75,1.0,63,59,5.8,5.7,61
